COUNTYJ,hu40,hu50,hu60,hu70,hu80,hu90,hu00,hu10
G0100010,5407,4953,5236,7390,10963,12732,17662,22135
G0100030,8901,13046,16593,21802,33277,50933,74285,104061
G0100050,8085,7894,7379,7388,9325,10705,12461,11829
G0100070,5037,4727,4145,4467,5759,6404,8345,8981
G0100090,7096,7898,7908,9193,13846,15790,21158,23887
G0100110,5025,4389,3873,3722,3895,4458,4727,4493
G0100130,7808,7857,7096,7115,8117,8745,9957,9964
G0100150,15564,21350,27897,32439,42582,46753,51322,53289
G0100170,10677,11205,11173,11993,14428,14910,16256,17004
G0100190,4639,4653,4800,5448,8197,9379,14025,16267
G0100210,7012,7693,8339,9086,12869,13883,17651,19278
G0100230,4919,4840,4700,5272,6084,6789,7839,7269
G0100250,6713,7062,7028,8331,10019,10853,12631,12638
G0100270,4274,3995,3941,4317,5328,5608,6612,6776
G0100290,3282,3285,3223,3622,4798,5232,6189,6718
G0100310,7712,8685,9063,11545,14582,16951,19837,22330
G0100330,8514,10857,13952,16092,20796,21812,24980,25758
G0100350,5942,5684,5137,5146,6e3,6207,7265,7093
G0100370,3344,3208,3266,3927,4933,5113,6142,6478
G0100390,10491,11533,11596,12444,15213,16178,18578,18829
G0100410,6074,5741,4669,4670,5503,5938,6644,6735
G0100430,10952,12954,13548,17398,24729,28369,35233,37054
G0100450,5748,6329,9030,14727,16553,19432,21779,22677
G0100470,14684,15323,15558,16795,19355,19045,20450,20208
G0100490,10230,12346,13097,14726,20888,22939,28051,31109
G0100510,8408,9110,9743,12106,17215,19497,25733,32657
G0100530,7130,8212,9491,10812,13557,14356,16544,16486
G0100550,17559,26426,30068,31908,39891,41787,45959,47454
G0100570,5275,5271,5323,5741,7514,7555,8472,8437
G0100590,6447,7083,7121,8341,11239,11772,13749,14022
G0100610,6957,7438,6846,7679,9344,10416,12115,12687
G0100630,5099,4433,3646,3383,3837,4162,5117,5007
G0100650,6340,5311,5048,4853,5568,6370,7756,7655
G0100670,5222,4705,4667,4689,6228,7056,8037,8891
G0100690,11708,13380,15670,19266,28580,33196,39571,45319
G0100710,9571,10219,10765,12929,19620,19768,24168,24786
G0100730,122744,159377,194788,212915,259843,273097,288162,300552
G0100750,4717,4586,4496,5131,6378,6617,7517,7354
G0100770,11173,15112,18736,22402,30556,33522,40424,43791
G0100790,6549,7087,7107,8519,10966,12212,15009,15229
G0100810,9525,11380,13946,19421,29673,36636,50329,62391
G0100830,8260,9287,10507,12677,16497,21455,26897,34977
G0100850,5776,4772,3768,3441,4223,4792,5801,5140
G0100870,7047,7279,6767,7095,9230,9818,10627,10259
G0100890,15897,19433,33506,56789,71123,97855,120288,146447
G0100910,9375,8010,7418,7324,8911,9144,10127,10237
G0100930,6524,7342,7073,8389,11604,12597,14416,14737
G0100950,10069,12523,15114,18532,26669,30225,36331,40342
G0100970,37134,67048,91699,99441,131936,151220,165101,178196
G0100990,7001,6679,6175,6682,8083,9633,11343,11333
G0101010,30462,40459,49158,55771,73725,84525,95437,101641
G0101030,12148,15162,18466,24816,33811,40419,47388,51193
G0101050,6389,5207,4560,4618,5022,4807,5406,4737
G0101070,6579,6475,6172,6435,7796,8379,9520,9483
G0101090,8276,8546,7882,8093,10200,11506,13981,15267
G0101110,6232,6173,6014,6396,7847,8728,10285,11982
G0101130,9103,10722,12540,14115,17855,19633,22831,24595
G0101150,6709,7231,7747,9425,15613,20382,27303,35541
G0101170,7181,8192,9521,12137,24644,39201,59302,80970
G0101190,6918,5986,5115,5030,6106,6545,6953,6786
G0101210,11932,16245,18375,20555,26059,29861,34469,37088
G0101230,8769,9598,10567,12155,15343,17312,20510,22111
G0101250,18430,23333,29623,35192,50319,58740,71429,84872
G0101270,15007,17046,16537,19334,27060,28427,32417,30816
G0101290,3754,3808,3929,4672,5917,6625,8123,8407
G0101310,6355,5819,4886,4711,5036,5119,6183,5649
G0101330,4162,4845,4639,5973,8697,10254,12502,13469
G0200100,NA,NA,NA,1332,1704,NA,NA,NA
G0200130,NA,NA,NA,NA,NA,693,724,747
G0200160,NA,NA,NA,NA,NA,2051,2234,1929
G0200200,NA,NA,NA,37650,70363,94153,100368,113032
G0200300,NA,NA,NA,185,NA,NA,NA,NA
G0200400,NA,NA,NA,499,NA,NA,NA,NA
G0200500,NA,NA,NA,1707,3297,4362,5188,5919
G0200600,NA,NA,NA,214,369,596,979,969
G0200620,NA,NA,NA,951,NA,NA,NA,NA
G0200680,NA,NA,NA,NA,NA,NA,1351,1771
G0200700,NA,NA,NA,NA,1952,1691,2332,2427
G0200800,NA,NA,NA,943,NA,NA,NA,NA
G0200900,NA,NA,NA,12520,22708,31823,33291,41783
G0201000,NA,NA,NA,515,743,1112,1419,1631
G0201050,NA,NA,NA,NA,NA,NA,NA,1771
G0201100,NA,NA,NA,4529,7656,10638,12282,13055
G0201200,NA,NA,NA,4877,NA,NA,NA,NA
G0201220,NA,NA,NA,NA,11740,19364,24871,30578
G0201300,NA,NA,NA,3265,4431,5463,6218,6166
G0201400,NA,NA,NA,990,1486,NA,NA,NA
G0201500,NA,NA,NA,2539,3557,4885,5159,5303
G0201600,NA,NA,NA,527,NA,NA,NA,NA
G0201640,NA,NA,NA,NA,NA,991,1557,1502
G0201700,NA,NA,NA,4221,10098,20953,27329,41329
G0201800,NA,NA,NA,1700,2608,3684,3649,4008
G0201850,NA,NA,NA,NA,1158,2153,2538,2500
G0201880,NA,NA,NA,NA,NA,1998,2540,2707
G0201900,NA,NA,NA,398,NA,NA,NA,NA
G0201950,NA,NA,NA,NA,NA,NA,NA,1994
G0201980,NA,NA,NA,NA,NA,NA,NA,2992
G0202000,NA,NA,NA,609,NA,NA,NA,NA
G0202010,NA,NA,NA,NA,1385,2543,3055,NA
G0202100,NA,NA,NA,1192,NA,NA,NA,NA
G0202200,NA,NA,NA,1915,2694,3222,3650,4102
G0202300,NA,NA,NA,715,NA,NA,NA,636
G0202310,NA,NA,NA,NA,1553,2102,NA,NA
G0202320,NA,NA,NA,NA,NA,NA,2108,NA
G0202400,NA,NA,NA,1325,2450,3149,3225,3915
G0202500,NA,NA,NA,483,NA,NA,NA,NA
G0202600,NA,NA,NA,1442,NA,NA,NA,NA
G0202610,NA,NA,NA,NA,4145,5196,5148,6102
G0202700,NA,NA,NA,690,1173,1882,2063,2183
G0202750,NA,NA,NA,NA,NA,NA,NA,1428
G0202800,NA,NA,NA,1619,2363,3005,3284,NA
G0202820,NA,NA,NA,NA,NA,NA,499,450
G0202900,NA,NA,NA,1177,3192,4899,3917,4038
G0250015,NA,NA,NA,NA,NA,NA,NA,NA
G0250035,NA,NA,NA,NA,NA,NA,NA,NA
G0250075,NA,NA,NA,NA,NA,NA,NA,NA
G0250115,NA,NA,NA,NA,NA,NA,NA,NA
G0400010,8059,NA,NA,9034,18878,26731,31621,32514
G0400030,9912,NA,NA,19486,32564,40238,51126,59041
G0400050,5597,NA,NA,14808,30264,42914,53443,63321
G0400070,7174,NA,NA,11131,18756,22961,28189,32698
G0400090,3076,NA,NA,4868,7405,9112,11430,12980
G0400110,2255,NA,NA,3532,4342,3582,3744,4372
G0400120,NA,NA,NA,NA,NA,10182,15133,16049
G0400130,54358,NA,NA,318714,610772,952041,1250231,1639279
G0400150,3043,NA,NA,10550,28818,50822,80062,110911
G0400170,7747,NA,NA,13904,28408,38967,47413,56938
G0400190,21266,NA,NA,118623,218609,298207,366737,440909
G0400210,7223,NA,NA,19652,34080,52732,81154,159222
G0400230,2631,NA,NA,4280,6402,9595,13036,18010
G0400250,9286,NA,NA,16136,33759,54805,81730,110432
G0400270,5452,NA,NA,19453,37501,46541,74140,87850
G0500010,6688,7244,7762,8174,9875,9575,9672,9436
G0500030,7130,7176,7197,8263,9770,9820,10615,10137
G0500050,2649,3679,3782,6509,12928,15549,19891,22580
G0500070,11091,12641,13299,18716,32206,41444,64281,93084
G0500090,4432,5239,5967,7275,10688,12380,15426,16827
G0500110,4632,4631,4533,4691,5591,5092,5930,5860
G0500130,2423,2123,1949,2003,2372,2437,3012,2897
G0500150,4421,4518,4493,5178,7345,8740,11828,13559
G0500170,7941,7489,6040,6154,6584,6191,5974,5421
G0500190,6296,6914,6555,7210,8822,8807,10166,10385
G0500210,7167,7963,7391,7085,8688,8362,8498,8031
G0500230,3330,3414,3299,4413,8584,10802,13732,15826
G0500250,3059,2512,2288,2367,3078,3322,3834,4064
G0500270,7743,8585,8530,8976,10445,10690,11566,11596
G0500290,5195,5363,4969,5812,7457,8009,9028,9720
G0500310,11844,14359,15444,17650,24139,28434,35133,40515
G0500330,6202,6848,7006,8824,13763,16711,21315,26115
G0500350,12517,13897,13829,14274,16980,18875,20507,21489
G0500370,6556,7021,5804,6034,7188,7254,8030,7853
G0500390,3689,3591,3264,3521,4237,4049,4401,4305
G0500410,7363,7433,6484,6308,7267,6706,6663,6261
G0500430,5182,4946,4617,5066,6648,7159,8287,8408
G0500450,6599,7295,7902,10148,16814,23397,34546,46612
G0500470,3970,3777,3567,4055,5689,6228,7673,8021
G0500490,2715,2776,2556,3056,4360,4839,5973,6778
G0500510,12878,16866,18699,23981,34120,37966,44953,50548
G0500530,2681,2662,2759,3343,4901,5540,6960,7758
G0500550,7512,8470,8301,8770,11944,13216,16161,17892
G0500570,8351,7700,6763,7122,9702,9690,10166,10419
G0500590,4952,6544,7081,7694,10699,11378,13384,14332
G0500610,4441,4233,3747,4179,5143,5600,6297,6238
G0500630,6417,7036,6912,8349,11630,12838,14841,16187
G0500650,3282,3080,2626,3188,5073,5535,6591,7232
G0500670,6731,7379,6968,7091,8306,8086,7956,7601
G0500690,18881,22793,24929,28140,33032,33311,34350,33006
G0500710,4876,4950,4400,5258,7179,7984,9926,11311
G0500730,4551,4104,3588,3791,4502,4523,4560,4353
G0500750,5623,6234,5717,6085,7479,7692,8085,8e3
G0500770,7030,6780,6222,5566,5272,5085,4768,4356
G0500790,5134,4805,3702,3763,4229,4295,4955,4860
G0500810,4413,3658,3167,4017,5731,6171,6435,6460
G0500830,6383,5792,5440,6180,7900,8539,9942,10108
G0500850,8381,8188,7597,8888,12442,15009,20749,27239
