countyname,cnty,st,FIPS,h1960,h1950
AUTAUGA,1,1,01001,5236,4953
BALDWIN,3,1,01003,16593,13046
BARBOUR,5,1,01005,7379,7894
BIBB,7,1,01007,4145,4727
BLOUNT,9,1,01009,7908,7898
BULLOCK,11,1,01011,3873,4389
BUTLER,13,1,01013,7096,7857
CALHOUN,15,1,01015,27897,21350
CHAMBERS,17,1,01017,11173,11205
CHEROKEE,19,1,01019,4800,4653
CHILTON,21,1,01021,8339,7693
CHOCTAW,23,1,01023,4700,4840
CLARKE,25,1,01025,7028,7062
CLAY,27,1,01027,3941,3995
CLEBURNE,29,1,01029,3223,3285
COFFEE,31,1,01031,9063,8685
COLBERT,33,1,01033,13952,10857
CONECUH,35,1,01035,5137,5684
COOSA,37,1,01037,3266,3208
COVINGTON,39,1,01039,11596,11533
CRENSHAW,41,1,01041,4669,5741
CULLMAN,43,1,01043,13548,12954
DALE,45,1,01045,9030,6329
DALLAS,47,1,01047,15558,15323
DEKALB,49,1,01049,13097,12346
ELMORE,51,1,01051,9743,9110
ESCAMBIA,53,1,01053,9491,8212
ETOWAH,55,1,01055,30068,26426
FAYETTE,57,1,01057,5323,5271
FRANKLIN,59,1,01059,7121,7083
GENEVA,61,1,01061,6846,7438
GREENE,63,1,01063,3646,4433
HALE,65,1,01065,5048,5311
HENRY,67,1,01067,4667,4705
HOUSTON,69,1,01069,15670,13380
JACKSON,71,1,01071,10765,10219
JEFFERSON,73,1,01073,194788,159377
LAMAR,75,1,01075,4496,4586
LAUDERDALE,77,1,01077,18736,15112
LAWRENCE,79,1,01079,7107,7087
LEE,81,1,01081,13946,11380
LIMESTONE,83,1,01083,10507,9287
LOWNDES,85,1,01085,3768,4772
MACON,87,1,01087,6767,7279
MADISON,89,1,01089,33506,19433
MARENGO,91,1,01091,7418,8010
MARION,93,1,01093,7073,7342
MARSHALL,95,1,01095,15114,12523
MOBILE,97,1,01097,91699,67048
MONROE,99,1,01099,6175,6679
MONTGOMERY,101,1,01101,49158,40459
MORGAN,103,1,01103,18466,15162
PERRY,105,1,01105,4560,5207
PICKENS,107,1,01107,6172,6475
PIKE,109,1,01109,7882,8546
RANDOLPH,111,1,01111,6014,6173
RUSSELL,113,1,01113,12540,10722
ST. CLAIR,115,1,01115,7747,7231
SHELBY,117,1,01117,9521,8192
SUMTER,119,1,01119,5115,5986
TALLADEGA,121,1,01121,18375,16245
TALLAPOOSA,123,1,01123,10567,9598
TUSCALOOSA,125,1,01125,29623,23333
WALKER,127,1,01127,16537,17046
WASHINGTON,129,1,01129,3929,3808
WILCOX,131,1,01131,4886,5819
WINSTON,133,1,01133,4639,4845
