GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BXR001,BX8001
"G0100010","1940","Alabama","010","Autauga","0010","Autauga",5407,5407
"G0100030","1940","Alabama","010","Baldwin","0030","Baldwin",8901,8901
"G0100050","1940","Alabama","010","Barbour","0050","Barbour",8085,8085
"G0100070","1940","Alabama","010","Bibb","0070","Bibb",5037,5037
"G0100090","1940","Alabama","010","Blount","0090","Blount",7096,7096
"G0100110","1940","Alabama","010","Bullock","0110","Bullock",5025,5025
"G0100130","1940","Alabama","010","Butler","0130","Butler",7808,7808
"G0100150","1940","Alabama","010","Calhoun","0150","Calhoun",15564,15564
"G0100170","1940","Alabama","010","Chambers","0170","Chambers",10677,10677
"G0100190","1940","Alabama","010","Cherokee","0190","Cherokee",4639,4639
"G0100210","1940","Alabama","010","Chilton","0210","Chilton",7012,7012
"G0100230","1940","Alabama","010","Choctaw","0230","Choctaw",4919,4919
"G0100250","1940","Alabama","010","Clarke","0250","Clarke",6713,6713
"G0100270","1940","Alabama","010","Clay","0270","Clay",4274,4274
"G0100290","1940","Alabama","010","Cleburne","0290","Cleburne",3282,3282
"G0100310","1940","Alabama","010","Coffee","0310","Coffee",7712,7712
"G0100330","1940","Alabama","010","Colbert","0330","Colbert",8514,8514
"G0100350","1940","Alabama","010","Conecuh","0350","Conecuh",5942,5942
"G0100370","1940","Alabama","010","Coosa","0370","Coosa",3344,3344
"G0100390","1940","Alabama","010","Covington","0390","Covington",10491,10491
"G0100410","1940","Alabama","010","Crenshaw","0410","Crenshaw",6074,6074
"G0100430","1940","Alabama","010","Cullman","0430","Cullman",10952,10952
"G0100450","1940","Alabama","010","Dale","0450","Dale",5748,5748
"G0100470","1940","Alabama","010","Dallas","0470","Dallas",14684,14684
"G0100490","1940","Alabama","010","DeKalb","0490","Dekalb",10230,10230
"G0100510","1940","Alabama","010","Elmore","0510","Elmore",8408,8408
"G0100530","1940","Alabama","010","Escambia","0530","Escambia",7130,7130
"G0100550","1940","Alabama","010","Etowah","0550","Etowah",17559,17559
"G0100570","1940","Alabama","010","Fayette","0570","Fayette",5275,5275
"G0100590","1940","Alabama","010","Franklin","0590","Franklin",6447,6447
"G0100610","1940","Alabama","010","Geneva","0610","Geneva",6957,6957
"G0100630","1940","Alabama","010","Greene","0630","Greene",5099,5099
"G0100650","1940","Alabama","010","Hale","0650","Hale",6340,6340
"G0100670","1940","Alabama","010","Henry","0670","Henry",5222,5222
"G0100690","1940","Alabama","010","Houston","0690","Houston",11708,11708
"G0100710","1940","Alabama","010","Jackson","0710","Jackson",9571,9571
"G0100730","1940","Alabama","010","Jefferson","0730","Jefferson",122744,122744
"G0100750","1940","Alabama","010","Lamar","0750","Lamar",4717,4717
"G0100770","1940","Alabama","010","Lauderdale","0770","Lauderdale",11173,11173
"G0100790","1940","Alabama","010","Lawrence","0790","Lawrence",6549,6549
"G0100810","1940","Alabama","010","Lee","0810","Lee",9525,9525
"G0100830","1940","Alabama","010","Limestone","0830","Limestone",8260,8260
"G0100850","1940","Alabama","010","Lowndes","0850","Lowndes",5776,5776
"G0100870","1940","Alabama","010","Macon","0870","Macon",7047,7047
"G0100890","1940","Alabama","010","Madison","0890","Madison",15897,15897
"G0100910","1940","Alabama","010","Marengo","0910","Marengo",9375,9375
"G0100930","1940","Alabama","010","Marion","0930","Marion",6524,6524
"G0100950","1940","Alabama","010","Marshall","0950","Marshall",10069,10069
"G0100970","1940","Alabama","010","Mobile","0970","Mobile",37134,37134
"G0100990","1940","Alabama","010","Monroe","0990","Monroe",7001,7001
"G0101010","1940","Alabama","010","Montgomery","1010","Montgomery",30462,30462
"G0101030","1940","Alabama","010","Morgan","1030","Morgan",12148,12148
"G0101050","1940","Alabama","010","Perry","1050","Perry",6389,6389
"G0101070","1940","Alabama","010","Pickens","1070","Pickens",6579,6579
"G0101090","1940","Alabama","010","Pike","1090","Pike",8276,8276
"G0101110","1940","Alabama","010","Randolph","1110","Randolph",6232,6232
"G0101130","1940","Alabama","010","Russell","1130","Russell",9103,9103
"G0101150","1940","Alabama","010","St Clair","1150","St Clair",6709,6709
"G0101170","1940","Alabama","010","Shelby","1170","Shelby",7181,7181
"G0101190","1940","Alabama","010","Sumter","1190","Sumter",6918,6918
"G0101210","1940","Alabama","010","Talladega","1210","Talladega",11932,11932
"G0101230","1940","Alabama","010","Tallapoosa","1230","Tallapoosa",8769,8769
"G0101250","1940","Alabama","010","Tuscaloosa","1250","Tuscaloosa",18430,18430
"G0101270","1940","Alabama","010","Walker","1270","Walker",15007,15007
"G0101290","1940","Alabama","010","Washington","1290","Washington",3754,3754
"G0101310","1940","Alabama","010","Wilcox","1310","Wilcox",6355,6355
"G0101330","1940","Alabama","010","Winston","1330","Winston",4162,4162
"G0250015","1940","Alaska Territory","025","First Judicicial Dist","0015","First Judicicial Dist",,
"G0250035","1940","Alaska Territory","025","Fourth Judicicial Dist","0035","Fourth Judicicial Dist",,
"G0250075","1940","Alaska Territory","025","Second Judicicial Dist","0075","Second Judicicial Dist",,
"G0250115","1940","Alaska Territory","025","Third Judicicial Dist","0115","Third Judicicial Dist",,
"G0400010","1940","Arizona","040","Apache","0010","Apache",8059,8059
"G0400030","1940","Arizona","040","Cochise","0030","Cochise",9912,9912
"G0400050","1940","Arizona","040","Coconino","0050","Coconino",5597,5597
"G0400070","1940","Arizona","040","Gila","0070","Gila",7174,7174
"G0400090","1940","Arizona","040","Graham","0090","Graham",3076,3076
"G0400110","1940","Arizona","040","Greenlee","0110","Greenlee",2255,2255
"G0400130","1940","Arizona","040","Maricopa","0130","Maricopa",54358,54358
"G0400150","1940","Arizona","040","Mohave","0150","Mohave",3043,3043
"G0400170","1940","Arizona","040","Navajo","0170","Navajo",7747,7747
