GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,AREANAME,C8Y001
G0100010,1980,3,6,Alabama,1,5240,Autauga,1,AUTAUGA COUNTY,10963
G0100030,1980,3,6,Alabama,1,5160,Baldwin,3,BALDWIN COUNTY,33277
G0100050,1980,3,6,Alabama,1,,Barbour,5,BARBOUR COUNTY,9325
G0100070,1980,3,6,Alabama,1,,Bibb,7,BIBB COUNTY,5759
G0100090,1980,3,6,Alabama,1,,Blount,9,BLOUNT COUNTY,13846
G0100110,1980,3,6,Alabama,1,,Bullock,11,BULLOCK COUNTY,3895
G0100130,1980,3,6,Alabama,1,,Butler,13,BUTLER COUNTY,8117
G0100150,1980,3,6,Alabama,1,450,Calhoun,15,CALHOUN COUNTY,42582
G0100170,1980,3,6,Alabama,1,,Chambers,17,CHAMBERS COUNTY,14428
G0100190,1980,3,6,Alabama,1,,Cherokee,19,CHEROKEE COUNTY,8197
G0100210,1980,3,6,Alabama,1,,Chilton,21,CHILTON COUNTY,12869
G0100230,1980,3,6,Alabama,1,,Choctaw,23,CHOCTAW COUNTY,6084
G0100250,1980,3,6,Alabama,1,,Clarke,25,CLARKE COUNTY,10019
G0100270,1980,3,6,Alabama,1,,Clay,27,CLAY COUNTY,5328
G0100290,1980,3,6,Alabama,1,,Cleburne,29,CLEBURNE COUNTY,4798
G0100310,1980,3,6,Alabama,1,,Coffee,31,COFFEE COUNTY,14582
G0100330,1980,3,6,Alabama,1,2650,Colbert,33,COLBERT COUNTY,20796
G0100350,1980,3,6,Alabama,1,,Conecuh,35,CONECUH COUNTY,6000
G0100370,1980,3,6,Alabama,1,,Coosa,37,COOSA COUNTY,4933
G0100390,1980,3,6,Alabama,1,,Covington,39,COVINGTON COUNTY,15213
G0100410,1980,3,6,Alabama,1,,Crenshaw,41,CRENSHAW COUNTY,5503
G0100430,1980,3,6,Alabama,1,,Cullman,43,CULLMAN COUNTY,24729
G0100450,1980,3,6,Alabama,1,,Dale,45,DALE COUNTY,16553
G0100470,1980,3,6,Alabama,1,,Dallas,47,DALLAS COUNTY,19355
G0100490,1980,3,6,Alabama,1,,DeKalb,49,DE KALB COUNTY,20888
G0100510,1980,3,6,Alabama,1,5240,Elmore,51,ELMORE COUNTY,17215
G0100530,1980,3,6,Alabama,1,,Escambia,53,ESCAMBIA COUNTY,13557
G0100550,1980,3,6,Alabama,1,2880,Etowah,55,ETOWAH COUNTY,39891
G0100570,1980,3,6,Alabama,1,,Fayette,57,FAYETTE COUNTY,7514
G0100590,1980,3,6,Alabama,1,,Franklin,59,FRANKLIN COUNTY,11239
G0100610,1980,3,6,Alabama,1,,Geneva,61,GENEVA COUNTY,9344
G0100630,1980,3,6,Alabama,1,,Greene,63,GREENE COUNTY,3837
G0100650,1980,3,6,Alabama,1,,Hale,65,HALE COUNTY,5568
G0100670,1980,3,6,Alabama,1,,Henry,67,HENRY COUNTY,6228
G0100690,1980,3,6,Alabama,1,,Houston,69,HOUSTON COUNTY,28580
G0100710,1980,3,6,Alabama,1,,Jackson,71,JACKSON COUNTY,19620
G0100730,1980,3,6,Alabama,1,1000,Jefferson,73,JEFFERSON COUNTY,259843
G0100750,1980,3,6,Alabama,1,,Lamar,75,LAMAR COUNTY,6378
G0100770,1980,3,6,Alabama,1,2650,Lauderdale,77,LAUDERDALE COUNTY,30556
