GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,MSA_CMSAA,PMSAA,NECMAA,NAME,FKI001
G0100010,2000,3,6,Alabama,1,Autauga,1,5240,9999,9999,Autauga County,17662
G0100030,2000,3,6,Alabama,1,Baldwin,3,5160,9999,9999,Baldwin County,74285
G0100050,2000,3,6,Alabama,1,Barbour,5,9999,9999,9999,Barbour County,12461
G0100070,2000,3,6,Alabama,1,Bibb,7,9999,9999,9999,Bibb County,8345
G0100090,2000,3,6,Alabama,1,Blount,9,1000,9999,9999,Blount County,21158
G0100110,2000,3,6,Alabama,1,Bullock,11,9999,9999,9999,Bullock County,4727
G0100130,2000,3,6,Alabama,1,Butler,13,9999,9999,9999,Butler County,9957
G0100150,2000,3,6,Alabama,1,Calhoun,15,450,9999,9999,Calhoun County,51322
G0100170,2000,3,6,Alabama,1,Chambers,17,9999,9999,9999,Chambers County,16256
G0100190,2000,3,6,Alabama,1,Cherokee,19,9999,9999,9999,Cherokee County,14025
G0100210,2000,3,6,Alabama,1,Chilton,21,9999,9999,9999,Chilton County,17651
G0100230,2000,3,6,Alabama,1,Choctaw,23,9999,9999,9999,Choctaw County,7839
G0100250,2000,3,6,Alabama,1,Clarke,25,9999,9999,9999,Clarke County,12631
G0100270,2000,3,6,Alabama,1,Clay,27,9999,9999,9999,Clay County,6612
G0100290,2000,3,6,Alabama,1,Cleburne,29,9999,9999,9999,Cleburne County,6189
G0100310,2000,3,6,Alabama,1,Coffee,31,9999,9999,9999,Coffee County,19837
G0100330,2000,3,6,Alabama,1,Colbert,33,2650,9999,9999,Colbert County,24980
G0100350,2000,3,6,Alabama,1,Conecuh,35,9999,9999,9999,Conecuh County,7265
G0100370,2000,3,6,Alabama,1,Coosa,37,9999,9999,9999,Coosa County,6142
G0100390,2000,3,6,Alabama,1,Covington,39,9999,9999,9999,Covington County,18578
G0100410,2000,3,6,Alabama,1,Crenshaw,41,9999,9999,9999,Crenshaw County,6644
G0100430,2000,3,6,Alabama,1,Cullman,43,9999,9999,9999,Cullman County,35233
G0100450,2000,3,6,Alabama,1,Dale,45,2180,9999,9999,Dale County,21779
