GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,CBV001
G0100010,1970,Alabama,1,Autauga,1,Autauga,7390
G0100030,1970,Alabama,1,Baldwin,3,Baldwin,21802
G0100050,1970,Alabama,1,Barbour,5,Barbour,7388
G0100070,1970,Alabama,1,Bibb,7,Bibb,4467
G0100090,1970,Alabama,1,Blount,9,Blount,9193
G0100110,1970,Alabama,1,Bullock,11,Bullock,3722
G0100130,1970,Alabama,1,Butler,13,Butler,7115
G0100150,1970,Alabama,1,Calhoun,15,Calhoun,32439
G0100170,1970,Alabama,1,Chambers,17,Chambers,11993
G0100190,1970,Alabama,1,Cherokee,19,Cherokee,5448
G0100210,1970,Alabama,1,Chilton,21,Chilton,9086
G0100230,1970,Alabama,1,Choctaw,23,Choctaw,5272
G0100250,1970,Alabama,1,Clarke,25,Clarke,8331
G0100270,1970,Alabama,1,Clay,27,Clay,4317
G0100290,1970,Alabama,1,Cleburne,29,Cleburne,3622
G0100310,1970,Alabama,1,Coffee,31,Coffee,11545
G0100330,1970,Alabama,1,Colbert,33,Colbert,16092
G0100350,1970,Alabama,1,Conecuh,35,Conecuh,5146
G0100370,1970,Alabama,1,Coosa,37,Coosa,3927
G0100390,1970,Alabama,1,Covington,39,Covington,12444
G0100410,1970,Alabama,1,Crenshaw,41,Crenshaw,4670
G0100430,1970,Alabama,1,Cullman,43,Cullman,17398
G0100450,1970,Alabama,1,Dale,45,Dale,14727
G0100470,1970,Alabama,1,Dallas,47,Dallas,16795
G0100490,1970,Alabama,1,DeKalb,49,De Kalb,14726
G0100510,1970,Alabama,1,Elmore,51,Elmore,12106
G0100530,1970,Alabama,1,Escambia,53,Escambia,10812
G0100550,1970,Alabama,1,Etowah,55,Etowah,31908
G0100570,1970,Alabama,1,Fayette,57,Fayette,5741
G0100590,1970,Alabama,1,Franklin,59,Franklin,8341
G0100610,1970,Alabama,1,Geneva,61,Geneva,7679
G0100630,1970,Alabama,1,Greene,63,Greene,3383
G0100650,1970,Alabama,1,Hale,65,Hale,4853
G0100670,1970,Alabama,1,Henry,67,Henry,4689
G0100690,1970,Alabama,1,Houston,69,Houston,19266
G0100710,1970,Alabama,1,Jackson,71,Jackson,12929
G0100730,1970,Alabama,1,Jefferson,73,Jefferson,212915
G0100750,1970,Alabama,1,Lamar,75,Lamar,5131
G0100770,1970,Alabama,1,Lauderdale,77,Lauderdale,22402
G0100790,1970,Alabama,1,Lawrence,79,Lawrence,8519
G0100810,1970,Alabama,1,Lee,81,Lee,19421
G0100830,1970,Alabama,1,Limestone,83,Limestone,12677
G0100850,1970,Alabama,1,Lowndes,85,Lowndes,3441
G0100870,1970,Alabama,1,Macon,87,Macon,7095
G0100890,1970,Alabama,1,Madison,89,Madison,56789
G0100910,1970,Alabama,1,Marengo,91,Marengo,7324
G0100930,1970,Alabama,1,Marion,93,Marion,8389
G0100950,1970,Alabama,1,Marshall,95,Marshall,18532
G0100970,1970,Alabama,1,Mobile,97,Mobile,99441
G0100990,1970,Alabama,1,Monroe,99,Monroe,6682
G0101010,1970,Alabama,1,Montgomery,101,Montgomery,55771
G0101030,1970,Alabama,1,Morgan,103,Morgan,24816
G0101050,1970,Alabama,1,Perry,105,Perry,4618
G0101070,1970,Alabama,1,Pickens,107,Pickens,6435
G0101090,1970,Alabama,1,Pike,109,Pike,8093
G0101110,1970,Alabama,1,Randolph,111,Randolph,6396
G0101130,1970,Alabama,1,Russell,113,Russell,14115
G0101150,1970,Alabama,1,St Clair,115,St Clair,9425
G0101170,1970,Alabama,1,Shelby,117,Shelby,12137
G0101190,1970,Alabama,1,Sumter,119,Sumter,5030
G0101210,1970,Alabama,1,Talladega,121,Talladega,20555
G0101230,1970,Alabama,1,Tallapoosa,123,Tallapoosa,12155
G0101250,1970,Alabama,1,Tuscaloosa,125,Tuscaloosa,35192
G0101270,1970,Alabama,1,Walker,127,Walker,19334
G0101290,1970,Alabama,1,Washington,129,Washington,4672
G0101310,1970,Alabama,1,Wilcox,131,Wilcox,4711
G0101330,1970,Alabama,1,Winston,133,Winston,5973
G0200100,1970,Alaska,2,Aleutian Islands,10,Aleutian Islands,1332
G0200200,1970,Alaska,2,Anchorage,20,Anchorage,37650
G0200300,1970,Alaska,2,Angoon,30,Angoon,185
G0200400,1970,Alaska,2,Barrow,40,Barrow,499
G0200500,1970,Alaska,2,Bethel,50,Bethel,1707
G0200600,1970,Alaska,2,Bristol Bay Borough,60,Bristol Bay Borough,214
G0200620,1970,Alaska,2,Bristol Bay Division,62,Bristol Bay Division,951
G0200800,1970,Alaska,2,Cordova-McCarthy,80,Cordova-Mc Carthy,943
