GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,IFC001
"G0100010","2010","3","6","Alabama","01","Autauga County","001",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Autauga County",,22135
"G0100030","2010","3","6","Alabama","01","Baldwin County","003",,,,,,,,,,,,,,"19300","99999","380",,,,,,,,,,,,,,"Baldwin County",,104061
"G0100050","2010","3","6","Alabama","01","Barbour County","005",,,,,,,,,,,,,,"21640","99999","999",,,,,,,,,,,,,,"Barbour County",,11829
"G0100070","2010","3","6","Alabama","01","Bibb County","007",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Bibb County",,8981
"G0100090","2010","3","6","Alabama","01","Blount County","009",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Blount County",,23887
"G0100110","2010","3","6","Alabama","01","Bullock County","011",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bullock County",,4493
"G0100130","2010","3","6","Alabama","01","Butler County","013",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Butler County",,9964
"G0100150","2010","3","6","Alabama","01","Calhoun County","015",,,,,,,,,,,,,,"11500","99999","999",,,,,,,,,,,,,,"Calhoun County",,53289
"G0100170","2010","3","6","Alabama","01","Chambers County","017",,,,,,,,,,,,,,"46740","99999","122",,,,,,,,,,,,,,"Chambers County",,17004
"G0100190","2010","3","6","Alabama","01","Cherokee County","019",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cherokee County",,16267
"G0100210","2010","3","6","Alabama","01","Chilton County","021",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Chilton County",,19278
"G0100230","2010","3","6","Alabama","01","Choctaw County","023",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Choctaw County",,7269
"G0100250","2010","3","6","Alabama","01","Clarke County","025",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clarke County",,12638
"G0100270","2010","3","6","Alabama","01","Clay County","027",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clay County",,6776
"G0100290","2010","3","6","Alabama","01","Cleburne County","029",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cleburne County",,6718
"G0100310","2010","3","6","Alabama","01","Coffee County","031",,,,,,,,,,,,,,"21460","99999","222",,,,,,,,,,,,,,"Coffee County",,22330
"G0100330","2010","3","6","Alabama","01","Colbert County","033",,,,,,,,,,,,,,"22520","99999","999",,,,,,,,,,,,,,"Colbert County",,25758
"G0100350","2010","3","6","Alabama","01","Conecuh County","035",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Conecuh County",,7093
"G0100370","2010","3","6","Alabama","01","Coosa County","037",,,,,,,,,,,,,,"10760","99999","388",,,,,,,,,,,,,,"Coosa County",,6478
"G0100390","2010","3","6","Alabama","01","Covington County","039",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Covington County",,18829
"G0100410","2010","3","6","Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Crenshaw County",,6735
"G0100430","2010","3","6","Alabama","01","Cullman County","043",,,,,,,,,,,,,,"18980","99999","142",,,,,,,,,,,,,,"Cullman County",,37054
"G0100450","2010","3","6","Alabama","01","Dale County","045",,,,,,,,,,,,,,"21460","99999","222",,,,,,,,,,,,,,"Dale County",,22677
"G0100470","2010","3","6","Alabama","01","Dallas County","047",,,,,,,,,,,,,,"42820","99999","999",,,,,,,,,,,,,,"Dallas County",,20208
"G0100490","2010","3","6","Alabama","01","DeKalb County","049",,,,,,,,,,,,,,"22840","99999","999",,,,,,,,,,,,,,"DeKalb County",,31109
"G0100510","2010","3","6","Alabama","01","Elmore County","051",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Elmore County",,32657
"G0100530","2010","3","6","Alabama","01","Escambia County","053",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Escambia County",,16486
"G0100550","2010","3","6","Alabama","01","Etowah County","055",,,,,,,,,,,,,,"23460","99999","999",,,,,,,,,,,,,,"Etowah County",,47454
"G0100570","2010","3","6","Alabama","01","Fayette County","057",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Fayette County",,8437
"G0100590","2010","3","6","Alabama","01","Franklin County","059",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Franklin County",,14022
"G0100610","2010","3","6","Alabama","01","Geneva County","061",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Geneva County",,12687
"G0100630","2010","3","6","Alabama","01","Greene County","063",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Greene County",,5007
"G0100650","2010","3","6","Alabama","01","Hale County","065",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Hale County",,7655
"G0100670","2010","3","6","Alabama","01","Henry County","067",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Henry County",,8891
"G0100690","2010","3","6","Alabama","01","Houston County","069",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Houston County",,45319
"G0100710","2010","3","6","Alabama","01","Jackson County","071",,,,,,,,,,,,,,"42460","99999","999",,,,,,,,,,,,,,"Jackson County",,24786
"G0100730","2010","3","6","Alabama","01","Jefferson County","073",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Jefferson County",,300552
"G0100750","2010","3","6","Alabama","01","Lamar County","075",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lamar County",,7354
"G0100770","2010","3","6","Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,"22520","99999","999",,,,,,,,,,,,,,"Lauderdale County",,43791
"G0100790","2010","3","6","Alabama","01","Lawrence County","079",,,,,,,,,,,,,,"19460","99999","290",,,,,,,,,,,,,,"Lawrence County",,15229
"G0100810","2010","3","6","Alabama","01","Lee County","081",,,,,,,,,,,,,,"12220","99999","194",,,,,,,,,,,,,,"Lee County",,62391
"G0100830","2010","3","6","Alabama","01","Limestone County","083",,,,,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,,,"Limestone County",,34977
"G0100850","2010","3","6","Alabama","01","Lowndes County","085",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Lowndes County",,5140
"G0100870","2010","3","6","Alabama","01","Macon County","087",,,,,,,,,,,,,,"46260","99999","194",,,,,,,,,,,,,,"Macon County",,10259
"G0100890","2010","3","6","Alabama","01","Madison County","089",,,,,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,,,"Madison County",,146447
"G0100910","2010","3","6","Alabama","01","Marengo County","091",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Marengo County",,10237
"G0100930","2010","3","6","Alabama","01","Marion County","093",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Marion County",,14737
"G0100950","2010","3","6","Alabama","01","Marshall County","095",,,,,,,,,,,,,,"10700","99999","999",,,,,,,,,,,,,,"Marshall County",,40342
"G0100970","2010","3","6","Alabama","01","Mobile County","097",,,,,,,,,,,,,,"33660","99999","380",,,,,,,,,,,,,,"Mobile County",,178196
"G0100990","2010","3","6","Alabama","01","Monroe County","099",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Monroe County",,11333
"G0101010","2010","3","6","Alabama","01","Montgomery County","101",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Montgomery County",,101641
"G0101030","2010","3","6","Alabama","01","Morgan County","103",,,,,,,,,,,,,,"19460","99999","290",,,,,,,,,,,,,,"Morgan County",,51193
"G0101050","2010","3","6","Alabama","01","Perry County","105",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Perry County",,4737
"G0101070","2010","3","6","Alabama","01","Pickens County","107",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Pickens County",,9483
"G0101090","2010","3","6","Alabama","01","Pike County","109",,,,,,,,,,,,,,"45980","99999","999",,,,,,,,,,,,,,"Pike County",,15267
"G0101110","2010","3","6","Alabama","01","Randolph County","111",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Randolph County",,11982
"G0101130","2010","3","6","Alabama","01","Russell County","113",,,,,,,,,,,,,,"17980","99999","194",,,,,,,,,,,,,,"Russell County",,24595
"G0101150","2010","3","6","Alabama","01","St. Clair County","115",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"St. Clair County",,35541
"G0101170","2010","3","6","Alabama","01","Shelby County","117",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Shelby County",,80970
"G0101190","2010","3","6","Alabama","01","Sumter County","119",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Sumter County",,6786
"G0101210","2010","3","6","Alabama","01","Talladega County","121",,,,,,,,,,,,,,"45180","99999","999",,,,,,,,,,,,,,"Talladega County",,37088
"G0101230","2010","3","6","Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,"10760","99999","388",,,,,,,,,,,,,,"Tallapoosa County",,22111
"G0101250","2010","3","6","Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Tuscaloosa County",,84872
"G0101270","2010","3","6","Alabama","01","Walker County","127",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Walker County",,30816
"G0101290","2010","3","6","Alabama","01","Washington County","129",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Washington County",,8407
"G0101310","2010","3","6","Alabama","01","Wilcox County","131",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wilcox County",,5649
"G0101330","2010","3","6","Alabama","01","Winston County","133",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Winston County",,13469
"G0200130","2010","4","9","Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Aleutians East Borough",,747
"G0200160","2010","4","9","Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Aleutians West Census Area",,1929
"G0200200","2010","4","9","Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,"11260","99999","999",,,,,,,,,,,,,,"Anchorage Municipality",,113032
"G0200500","2010","4","9","Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bethel Census Area",,5919
"G0200600","2010","4","9","Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bristol Bay Borough",,969
"G0200680","2010","4","9","Alaska","02","Denali Borough","068",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Denali Borough",,1771
"G0200700","2010","4","9","Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Dillingham Census Area",,2427
"G0200900","2010","4","9","Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,"21820","99999","999",,,,,,,,,,,,,,"Fairbanks North Star Borough",,41783
"G0201000","2010","4","9","Alaska","02","Haines Borough","100",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Haines Borough",,1631
"G0201050","2010","4","9","Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Hoonah-Angoon Census Area",,1771
"G0201100","2010","4","9","Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,"27940","99999","999",,,,,,,,,,,,,,"Juneau City and Borough",,13055
"G0201220","2010","4","9","Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Kenai Peninsula Borough",,30578
"G0201300","2010","4","9","Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,"28540","99999","999",,,,,,,,,,,,,,"Ketchikan Gateway Borough",,6166
"G0201500","2010","4","9","Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,"28980","99999","999",,,,,,,,,,,,,,"Kodiak Island Borough",,5303
"G0201640","2010","4","9","Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lake and Peninsula Borough",,1502
"G0201700","2010","4","9","Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,"11260","99999","999",,,,,,,,,,,,,,"Matanuska-Susitna Borough",,41329
"G0201800","2010","4","9","Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Nome Census Area",,4008
"G0201850","2010","4","9","Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"North Slope Borough",,2500
"G0201880","2010","4","9","Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Northwest Arctic Borough",,2707
"G0201950","2010","4","9","Alaska","02","Petersburg Census Area","195",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Petersburg Census Area",,1994
"G0201980","2010","4","9","Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area",,2992
"G0202200","2010","4","9","Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Sitka City and Borough",,4102
"G0202300","2010","4","9","Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Skagway Municipality",,636
"G0202400","2010","4","9","Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Southeast Fairbanks Census Area",,3915
"G0202610","2010","4","9","Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Valdez-Cordova Census Area",,6102
"G0202700","2010","4","9","Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wade Hampton Census Area",,2183
"G0202750","2010","4","9","Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wrangell City and Borough",,1428
"G0202820","2010","4","9","Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Yakutat City and Borough",,450
"G0202900","2010","4","9","Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Yukon-Koyukuk Census Area",,4038
"G0400010","2010","4","8","Arizona","04","Apache County","001",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Apache County",,32514
"G0400030","2010","4","8","Arizona","04","Cochise County","003",,,,,,,,,,,,,,"43420","99999","999",,,,,,,,,,,,,,"Cochise County",,59041
"G0400050","2010","4","8","Arizona","04","Coconino County","005",,,,,,,,,,,,,,"22380","99999","999",,,,,,,,,,,,,,"Coconino County",,63321
"G0400070","2010","4","8","Arizona","04","Gila County","007",,,,,,,,,,,,,,"37740","99999","999",,,,,,,,,,,,,,"Gila County",,32698
"G0400090","2010","4","8","Arizona","04","Graham County","009",,,,,,,,,,,,,,"40940","99999","999",,,,,,,,,,,,,,"Graham County",,12980
"G0400110","2010","4","8","Arizona","04","Greenlee County","011",,,,,,,,,,,,,,"40940","99999","999",,,,,,,,,,,,,,"Greenlee County",,4372
"G0400120","2010","4","8","Arizona","04","La Paz County","012",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"La Paz County",,16049
"G0400130","2010","4","8","Arizona","04","Maricopa County","013",,,,,,,,,,,,,,"38060","99999","999",,,,,,,,,,,,,,"Maricopa County",,1639279
"G0400150","2010","4","8","Arizona","04","Mohave County","015",,,,,,,,,,,,,,"29420","99999","999",,,,,,,,,,,,,,"Mohave County",,110911
"G0400170","2010","4","8","Arizona","04","Navajo County","017",,,,,,,,,,,,,,"43320","99999","999",,,,,,,,,,,,,,"Navajo County",,56938
"G0400190","2010","4","8","Arizona","04","Pima County","019",,,,,,,,,,,,,,"46060","99999","999",,,,,,,,,,,,,,"Pima County",,440909
"G0400210","2010","4","8","Arizona","04","Pinal County","021",,,,,,,,,,,,,,"38060","99999","999",,,,,,,,,,,,,,"Pinal County",,159222
"G0400230","2010","4","8","Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,"35700","99999","999",,,,,,,,,,,,,,"Santa Cruz County",,18010
"G0400250","2010","4","8","Arizona","04","Yavapai County","025",,,,,,,,,,,,,,"39140","99999","999",,,,,,,,,,,,,,"Yavapai County",,110432
"G0400270","2010","4","8","Arizona","04","Yuma County","027",,,,,,,,,,,,,,"49740","99999","999",,,,,,,,,,,,,,"Yuma County",,87850
"G0500010","2010","3","7","Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Arkansas County",,9436
"G0500030","2010","3","7","Arkansas","05","Ashley County","003",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Ashley County",,10137
"G0500050","2010","3","7","Arkansas","05","Baxter County","005",,,,,,,,,,,,,,"34260","99999","999",,,,,,,,,,,,,,"Baxter County",,22580
"G0500070","2010","3","7","Arkansas","05","Benton County","007",,,,,,,,,,,,,,"22220","99999","999",,,,,,,,,,,,,,"Benton County",,93084
"G0500090","2010","3","7","Arkansas","05","Boone County","009",,,,,,,,,,,,,,"25460","99999","999",,,,,,,,,,,,,,"Boone County",,16827
"G0500110","2010","3","7","Arkansas","05","Bradley County","011",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bradley County",,5860
"G0500130","2010","3","7","Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,"15780","99999","999",,,,,,,,,,,,,,"Calhoun County",,2897
"G0500150","2010","3","7","Arkansas","05","Carroll County","015",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Carroll County",,13559
"G0500170","2010","3","7","Arkansas","05","Chicot County","017",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Chicot County",,5421
"G0500190","2010","3","7","Arkansas","05","Clark County","019",,,,,,,,,,,,,,"11660","99999","999",,,,,,,,,,,,,,"Clark County",,10385
"G0500210","2010","3","7","Arkansas","05","Clay County","021",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clay County",,8031
"G0500230","2010","3","7","Arkansas","05","Cleburne County","023",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cleburne County",,15826
"G0500250","2010","3","7","Arkansas","05","Cleveland County","025",,,,,,,,,,,,,,"38220","99999","340",,,,,,,,,,,,,,"Cleveland County",,4064
"G0500270","2010","3","7","Arkansas","05","Columbia County","027",,,,,,,,,,,,,,"31620","99999","999",,,,,,,,,,,,,,"Columbia County",,11596
"G0500290","2010","3","7","Arkansas","05","Conway County","029",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Conway County",,9720
"G0500310","2010","3","7","Arkansas","05","Craighead County","031",,,,,,,,,,,,,,"27860","99999","308",,,,,,,,,,,,,,"Craighead County",,40515
