GISJOIN.x,YEAR,STATE,STATEA,COUNTY.x,COUNTYA,TRACTA,BLKGRPA,NAME_E,ADQSE001,ADQSE002,ADQSE003,ADQSE004,ADQSE005,ADQSE006,ADQSE007,ADQSE008,ADQSE009,ADQSE010,ADQSE011,NAME_M,ADQSM001,ADQSM002,ADQSM003,ADQSM004,ADQSM005,ADQSM006,ADQSM007,ADQSM008,ADQSM009,ADQSM010,ADQSM011,hu40,hu70,hu80,hu90,hu00,hu10,j70,j80,j90,j00,j10,i70,i80,i90,i00,i10,adj40a,adj70a,adj80a,adj90a,adj00a,adj10a,FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,area,ham40,ham70,ham80,ham90,ham00,ham10,urb40,urb70,urb80,urb90,urb00,urb10
G13005100001001,2011-2015,Georgia,13,Chatham County,51,100,1,"Block Group 1, Census Tract 1, Chatham County, Georgia",321,9,0,0,0,3,89,142,46,13,19,"Block Group 1, Census Tract 1, Chatham County, Georgia",18,14,13,13,13,6,23,36,27,15,21,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,220,309,312,312,312,51.7081527516559,314.75161887141536,404.12627012794115,370.36722259110263,334.4635436830559,314.9962432734288,75640,13,51,100,1,130510001001,1153190,83736,32.0823335,-81.103942,5276.05597483,1236931.63058,0.477581972598,108.27073825749436,659.0525541807971,846.1924723195332,775.5050312647702,700.3269865141818,659.5647686613452,0,1,1,1,1,1
G13005100003001,2011-2015,Georgia,13,Chatham County,51,300,1,"Block Group 1, Census Tract 3, Chatham County, Georgia",454,0,0,43,0,0,10,4,0,14,383,"Block Group 1, Census Tract 3, Chatham County, Georgia",75,13,13,34,13,13,16,8,13,16,73,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,401,411,411,411,454,1042.327500204432,573.706359851989,537.5271748303683,487.8875912978948,440.5913988901794,458.35991809659185,75641,13,51,300,1,130510003001,775152,158078,32.0792991,-81.0911915,5024.61556471,933225.415106,0.360320347226,2892.7800170848077,1592.21194214755,1491.8035547218783,1354.038413467342,1222.7769047242614,1272.0900210753282,1,1,1,1,1,1
G13005100003002,2011-2015,Georgia,13,Chatham County,51,300,2,"Block Group 2, Census Tract 3, Chatham County, Georgia",614,0,0,25,15,24,0,22,0,9,519,"Block Group 2, Census Tract 3, Chatham County, Georgia",82,13,13,22,16,21,13,27,13,10,96,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,550,550,574,589,614,1412.4490146373375,786.8790471785384,719.3186037875975,681.3807236131183,631.4071385555126,619.8964531086066,75642,13,51,300,2,130510003002,374682,0,32.0778295,-81.0848658,3556.16051648,374682.639758,0.144665775998,9763.5325625106,5439.289574539156,4972.27902608798,4710.034000180792,4364.592345353622,4285.024905387274,1,1,1,1,1,1
G13005100006011,2011-2015,Georgia,13,Chatham County,51,601,1,"Block Group 1, Census Tract 6.01, Chatham County, Georgia",207,0,0,7,0,0,34,95,71,0,0,"Block Group 1, Census Tract 6.01, Chatham County, Georgia",82,13,13,12,13,13,33,56,59,13,13,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,166,200,200,200,207,0,237.49440333024978,261.5704013773082,237.41488627634783,214.3997074891384,208.98789217179407,75643,13,51,601,1,130510006011,191703,0,32.0833032,-81.1135357,2001.71139757,191703.71849200001,0.0740172195202,0,3208.63719104492,3533.912825594903,3207.5628862491253,2896.619312086246,2823.503686392317,0,1,1,1,1,1
G13005100006012,2011-2015,Georgia,13,Chatham County,51,601,2,"Block Group 2, Census Tract 6.01, Chatham County, Georgia",270,0,0,0,43,10,21,134,41,10,11,"Block Group 2, Census Tract 6.01, Chatham County, Georgia",81,13,13,13,53,18,33,67,43,17,17,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,196,217,227,270,270,29.936298961484994,280.4150786308973,283.80388549437936,269.4658959236548,289.43960511033686,272.5929028327749,75644,13,51,601,2,130510006012,211780,0,32.0871905,-81.1214179,1862.05350246,211779.729752,0.0817686108032,366.10991268440927,3429.373152807964,3470.8170128686197,3295.468680178547,3539.739788498519,3333.7108232014507,1,1,1,1,1,1
G13005100006013,2011-2015,Georgia,13,Chatham County,51,601,3,"Block Group 3, Census Tract 6.01, Chatham County, Georgia",404,0,0,20,21,25,24,82,92,48,92,"Block Group 3, Census Tract 6.01, Chatham County, Georgia",95,13,13,32,32,39,37,57,60,53,57,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,314,338,363,384,404,250.3763185869654,449.23640148011106,442.05397832765084,430.9080185915713,411.6474383791457,407.87975090533723,75645,13,51,601,3,130510006013,491833,0,32.0840698,-81.1235267,4138.25613645,491833.087448,0.189897816731,1318.4791847377387,2365.674388539587,2327.851820191503,2269.1573079114155,2167.7312855169125,2147.8906810346316,1,1,1,1,1,1
G13005100006014,2011-2015,Georgia,13,Chatham County,51,601,4,"Block Group 4, Census Tract 6.01, Chatham County, Georgia",310,0,11,22,56,0,37,22,107,25,30,"Block Group 4, Census Tract 6.01, Chatham County, Georgia",85,13,18,34,54,13,37,26,56,29,37,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,184,221,221,277,299,81.6444517131409,263.2468085106383,289.03529352192555,262.34344933536437,296.9435948724567,301.87139980370256,75646,13,51,601,4,130510006014,2383430,87,32.0761436,-81.1145878,7697.19199809,2383515.19755,0.920280362811,88.71693346118741,286.0506636331453,314.0730859876941,285.0690506250022,322.66644695692656,328.0211248685511,0,1,1,1,1,1
G13005100006015,2011-2015,Georgia,13,Chatham County,51,601,5,"Block Group 5, Census Tract 6.01, Chatham County, Georgia",459,0,81,133,29,0,13,0,113,25,65,"Block Group 5, Census Tract 6.01, Chatham County, Georgia",94,13,62,67,30,13,21,13,64,34,52,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,203,216,216,245,378,176.89631204513861,290.4299028677151,282.4960334874928,256.40807717845564,262.63964167419454,381.63006396588486,75647,13,51,601,5,130510006015,282133,0,32.0849117,-81.1169236,2216.26342398,282133.247676,0.108932255938,1623.9112145609204,2666.151548656226,2593.318490055678,2353.8305983894534,2411.036468607414,3503.370610290985,1,1,1,1,1,1
G13005100009001,2011-2015,Georgia,13,Chatham County,51,900,1,"Block Group 1, Census Tract 9, Chatham County, Georgia",871,0,0,7,0,20,59,24,6,38,717,"Block Group 1, Census Tract 9, Chatham County, Georgia",57,13,13,10,13,16,33,15,9,33,75,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,785,844,864,864,871,1951.3023959440673,1123.0910037002775,1103.8270938122405,1025.6323087138226,926.2067363530779,879.3645124716553,75648,13,51,900,1,130510009001,265330,0,32.0717555,-81.0917023,2235.26200863,265328.689357,0.102443979697,19047.506761407178,10962.977102432564,10774.933745028702,10011.640622976085,9041.104602657302,8583.857392816679,1,1,1,1,1,1
G13005100011001,2011-2015,Georgia,13,Chatham County,51,1100,1,"Block Group 1, Census Tract 11, Chatham County, Georgia",617,0,0,36,66,22,8,8,25,13,439,"Block Group 1, Census Tract 11, Chatham County, Georgia",61,13,13,28,36,26,9,10,22,19,72,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,485,493,515,581,617,1194.7304767356284,693.8842506938021,644.7710393950647,611.3433321615956,622.831150255947,622.9252631400819,75649,13,51,1100,1,130510011001,464215,0,32.0689541,-81.0870898,2902.60590877,464215.017482,0.179234420301,6665.7424100194585,3871.3783297232594,3597.361702692255,3410.8589808527126,3474.952797626629,3475.4778802752453,1,1,1,1,1,1
